,0,1,2,3
0,2.0,1.0,24.0,3913.0
1,2.0,2.0,26.0,2682.0
2,2.0,2.0,34.0,29239.0
3,2.0,1.0,37.0,46990.0
4,2.0,1.0,57.0,8617.0
5,1.0,2.0,37.0,64400.0
6,1.0,2.0,29.0,367965.0
7,2.0,2.0,23.0,11876.0
8,3.0,1.0,28.0,11285.0
9,3.0,2.0,35.0,0.0
10,3.0,2.0,34.0,11073.0
11,1.0,2.0,51.0,12261.0
12,2.0,2.0,41.0,12137.0
13,2.0,2.0,30.0,65802.0
14,1.0,2.0,29.0,70887.0
15,3.0,3.0,23.0,50614.0
16,1.0,2.0,24.0,15376.0
17,1.0,1.0,49.0,253286.0
18,1.0,1.0,49.0,0.0
19,1.0,2.0,29.0,0.0
20,3.0,2.0,39.0,38358.0
21,2.0,1.0,39.0,316.0
22,2.0,2.0,26.0,41087.0
23,1.0,1.0,40.0,5512.0
24,1.0,2.0,23.0,4744.0
25,3.0,2.0,23.0,47620.0
26,1.0,2.0,27.0,-109.0
27,3.0,2.0,30.0,22541.0
28,3.0,1.0,47.0,650.0
29,1.0,2.0,26.0,15329.0
30,1.0,2.0,27.0,16646.0
31,2.0,2.0,33.0,30518.0
32,1.0,2.0,32.0,93036.0
33,2.0,1.0,54.0,10929.0
34,1.0,1.0,58.0,13709.0
35,1.0,2.0,30.0,30265.0
36,2.0,1.0,40.0,186503.0
37,2.0,2.0,22.0,15054.0
38,1.0,2.0,25.0,0.0
39,1.0,2.0,31.0,498.0
40,1.0,2.0,33.0,218668.0
41,1.0,2.0,25.0,67521.0
42,2.0,2.0,22.0,1877.0
43,2.0,1.0,37.0,59504.0
44,1.0,2.0,30.0,18927.0
45,1.0,2.0,29.0,0.0
46,1.0,2.0,22.0,14028.0
47,5.0,2.0,46.0,4463.0
48,2.0,2.0,32.0,22401.0
49,1.0,2.0,24.0,17447.0
50,3.0,2.0,42.0,37042.0
51,3.0,3.0,43.0,61559.0
52,2.0,1.0,49.0,13465.0
53,1.0,2.0,25.0,41402.0
54,1.0,2.0,29.0,46224.0
55,1.0,1.0,45.0,1905.0
56,3.0,1.0,34.0,16386.0
57,2.0,1.0,34.0,175886.0
58,1.0,2.0,34.0,1587.0
59,2.0,1.0,29.0,400134.0
60,3.0,1.0,28.0,22848.0
61,2.0,1.0,39.0,70800.0
62,1.0,2.0,29.0,24987.0
63,2.0,1.0,46.0,28718.0
64,2.0,1.0,51.0,99.0
65,1.0,1.0,57.0,152519.0
66,2.0,1.0,56.0,2097.0
67,1.0,2.0,30.0,300.0
68,3.0,2.0,29.0,-190.0
69,5.0,2.0,22.0,18565.0
70,1.0,2.0,31.0,780.0
71,2.0,2.0,29.0,58267.0
72,2.0,1.0,32.0,9076.0
73,1.0,2.0,37.0,0.0
74,1.0,2.0,32.0,3048.0
75,2.0,2.0,24.0,14619.0
76,3.0,2.0,25.0,42838.0
77,1.0,1.0,45.0,291.0
78,2.0,2.0,22.0,28387.0
79,2.0,2.0,44.0,0.0
80,3.0,3.0,33.0,165254.0
81,1.0,2.0,26.0,23411.0
82,3.0,2.0,30.0,26324.0
83,2.0,1.0,44.0,131595.0
84,3.0,2.0,49.0,48909.0
85,2.0,2.0,33.0,130028.0
86,1.0,1.0,45.0,390.0
87,2.0,2.0,32.0,3826.0
88,1.0,1.0,35.0,81313.0
89,3.0,2.0,44.0,8583.0
90,1.0,1.0,53.0,138180.0
91,1.0,2.0,39.0,7524.0
92,1.0,2.0,27.0,-2000.0
93,2.0,1.0,37.0,880.0
94,2.0,2.0,23.0,45648.0
95,2.0,2.0,35.0,83725.0
96,1.0,1.0,43.0,3967.0
97,1.0,2.0,27.0,86009.0
98,3.0,1.0,22.0,18722.0
99,2.0,1.0,38.0,17973.0
100,1.0,2.0,32.0,672.0
101,1.0,2.0,30.0,-81.0
102,1.0,1.0,63.0,422069.0
103,3.0,2.0,22.0,44698.0
104,2.0,2.0,26.0,56685.0
105,2.0,2.0,24.0,5580.0
106,2.0,1.0,36.0,6108.0
107,1.0,2.0,52.0,713.0
108,2.0,2.0,38.0,171438.0
109,2.0,1.0,35.0,-103.0
110,1.0,1.0,31.0,105879.0
111,3.0,1.0,47.0,13244.0
112,2.0,1.0,41.0,135673.0
113,1.0,2.0,24.0,52128.0
114,2.0,2.0,41.0,19015.0
115,1.0,2.0,24.0,18199.0
116,1.0,2.0,28.0,326.0
117,2.0,2.0,26.0,14029.0
118,2.0,1.0,34.0,19660.0
119,2.0,2.0,38.0,50254.0
120,3.0,2.0,37.0,46004.0
121,1.0,1.0,40.0,0.0
122,1.0,1.0,48.0,0.0
123,2.0,1.0,35.0,304991.0
124,1.0,2.0,27.0,19115.0
125,2.0,2.0,23.0,0.0
126,3.0,2.0,52.0,110151.0
127,1.0,1.0,36.0,163736.0
128,2.0,1.0,51.0,3347.0
129,3.0,1.0,55.0,60521.0
130,1.0,2.0,23.0,4000.0
131,1.0,2.0,41.0,95.0
132,2.0,1.0,34.0,253454.0
133,3.0,1.0,46.0,227389.0
134,2.0,2.0,22.0,28452.0
135,2.0,1.0,34.0,10674.0
136,1.0,2.0,27.0,17444.0
137,2.0,1.0,33.0,7166.0
138,3.0,1.0,51.0,752.0
139,1.0,2.0,24.0,50801.0
140,1.0,2.0,47.0,0.0
141,2.0,2.0,28.0,1832.0
142,2.0,2.0,23.0,10131.0
143,2.0,2.0,29.0,12159.0
144,1.0,2.0,29.0,1199.0
145,1.0,2.0,28.0,4999.0
146,2.0,2.0,27.0,19269.0
147,1.0,2.0,34.0,197236.0
148,2.0,1.0,23.0,9168.0
149,1.0,1.0,60.0,-1100.0
150,2.0,1.0,32.0,86627.0
151,1.0,2.0,25.0,42444.0
152,1.0,2.0,41.0,208.0
153,2.0,1.0,56.0,208775.0
154,3.0,2.0,26.0,9014.0
155,1.0,1.0,34.0,23944.0
156,1.0,2.0,37.0,105420.0
157,3.0,2.0,30.0,196031.0
158,3.0,1.0,45.0,115785.0
159,3.0,1.0,57.0,12854.0
160,1.0,2.0,41.0,24357.0
161,2.0,2.0,27.0,390.0
162,3.0,1.0,47.0,1234.0
163,1.0,1.0,34.0,141223.0
164,2.0,1.0,46.0,21148.0
165,1.0,2.0,27.0,101640.0
166,1.0,2.0,50.0,6093.0
167,2.0,1.0,27.0,102349.0
168,2.0,1.0,35.0,72112.0
169,2.0,2.0,22.0,28040.0
170,2.0,2.0,37.0,37695.0
171,1.0,2.0,30.0,688.0
172,2.0,2.0,22.0,8567.0
173,1.0,2.0,24.0,-709.0
174,1.0,2.0,29.0,0.0
175,3.0,1.0,56.0,64617.0
176,1.0,2.0,30.0,6187.0
177,2.0,2.0,30.0,48860.0
178,2.0,2.0,22.0,16001.0
179,2.0,1.0,29.0,77883.0
180,1.0,2.0,37.0,12212.0
181,3.0,2.0,35.0,49608.0
182,1.0,1.0,47.0,56422.0
183,2.0,1.0,24.0,58024.0
184,2.0,2.0,25.0,10642.0
