,tv,radio,social_media,sales
0,16000.0,6566.23,2907.98,54732.76
1,13000.0,9237.76,2409.57,46677.9
2,41000.0,15886.45,2913.41,150177.83
3,83000.0,30020.03,6922.3,298246.34
4,15000.0,8437.41,1406.0,56594.18
5,29000.0,9614.38,1027.16,105889.15
6,55000.0,24893.81,4273.6,198679.82
7,31000.0,17355.04,2289.85,108733.93
8,76000.0,24648.9,7130.12,270189.4
9,13000.0,431.13,2229.42,48280.58
10,62000.0,24345.19,5151.48,224961.02
11,42000.0,15807.34,3194.92,145543.99
12,64000.0,20240.42,3921.15,229632.38
13,34000.0,226.33,2372.71,121336.42
14,36000.0,3900.2,60.4,123526.11
15,60000.0,22353.72,940.8,212764.4
16,25000.0,9905.84,1853.22,89819.92
17,100000.0,36116.09,3674.3,353804.64
18,92000.0,40736.99,4636.56,329350.54
19,46000.0,12695.09,3884.58,162191.33
20,78000.0,35568.22,2832.45,276401.34
21,37000.0,2828.97,4556.7,128484.66
22,99000.0,37263.82,6886.53,349861.58
23,75000.0,20348.99,1227.18,272250.11
24,54000.0,27807.61,4060.78,192461.91
25,27000.0,7280.09,2179.48,96749.37
26,21000.0,9282.69,3055.76,76992.93
27,40000.0,13050.41,1971.18,139288.79
28,67000.0,24137.62,5573.09,234851.03
29,90000.0,29021.02,6432.0,323032.18
30,12000.0,3567.66,3558.31,40792.2
31,81000.0,27335.78,5263.65,290777.57
32,43000.0,16348.71,2814.01,150626.49
33,47000.0,17376.53,1905.04,161785.15
34,43000.0,18230.19,4079.29,155599.2
35,75000.0,23626.24,6199.77,263020.69
36,79000.0,23510.57,2188.93,281578.94
37,65000.0,24563.55,3419.67,231670.05
38,43000.0,12842.13,2593.7,148706.97
39,82000.0,27647.59,5611.22,294952.42
40,68000.0,21639.2,3223.65,242824.88
41,98000.0,37570.95,8529.6,351773.07
42,26000.0,10599.53,679.28,91922.3
43,10000.0,6145.25,1591.12,32566.83
44,32000.0,627.62,2676.08,115262.57
45,29000.0,8852.09,41.49,101873.1
46,32000.0,11524.15,2566.79,111899.71
47,29000.0,14434.11,463.28,104352.67
48,91000.0,40108.53,7236.17,326381.71
49,83000.0,34281.41,8697.49,300730.53
50,72000.0,23922.7,3373.81,255155.17
51,47000.0,24169.13,2087.91,161717.09
52,10000.0,3455.87,2400.12,39625.68
53,49000.0,10067.63,1729.67,169008.11
54,14000.0,5197.86,413.97,50988.48
55,20000.0,10750.05,2442.17,70471.72
56,17000.0,10447.45,3356.11,58590.09
57,68000.0,29892.74,6096.74,237772.16
58,91000.0,25045.56,6109.37,322100.5
59,52000.0,17113.24,2638.64,181079.61
60,41000.0,3921.54,2527.85,145919.2
61,65000.0,11656.49,358.47,228564.65
62,82000.0,31607.69,3952.45,288982.24
63,14000.0,18649.44,4529.93,49815.67
64,84000.0,31266.41,8080.73,299099.05
65,99000.0,30140.57,6546.16,351359.89
66,15000.0,2234.29,1077.72,55009.71
67,64000.0,24698.52,6741.38,223099.15
68,70000.0,15247.73,4587.7,247139.4
69,77000.0,26822.35,5514.19,274707.1
70,81000.0,20391.95,3212.25,289175.76
71,46000.0,17790.13,4117.63,168036.54
72,56000.0,25276.09,3239.27,198321.52
73,98000.0,33055.16,6063.46,349745.3
74,47000.0,18233.96,827.55,166137.22
75,18000.0,8808.7,2414.19,59289.32
76,77000.0,22955.31,2642.5,272632.14
77,22000.0,6041.73,2136.63,77417.32
78,99000.0,37717.81,3590.09,349423.97
79,36000.0,9096.78,3818.83,127092.67
80,12000.0,1648.2,1305.73,43065.09
81,94000.0,47116.29,9322.96,336593.42
82,97000.0,39232.31,3698.66,345313.16
83,44000.0,16912.03,4034.66,154206.56
84,86000.0,31521.9,6398.28,304743.77
85,93000.0,33059.45,5789.3,335209.07
86,30000.0,10645.11,1915.52,104180.97
87,32000.0,758.07,2359.2,112269.69
88,29000.0,2172.6,4208.32,103634.87
89,72000.0,25406.6,3215.46,262401.17
90,14000.0,8001.27,4187.83,51442.98
91,95000.0,38415.22,7673.64,336760.63
92,20000.0,3934.78,328.47,72625.9
93,49000.0,24359.04,3797.37,174198.14
94,29000.0,11213.69,558.84,98999.64
95,39000.0,13187.26,2766.35,140415.29
96,87000.0,33707.9,3327.27,309361.67
97,38000.0,9437.71,4377.59,133565.49
98,43000.0,9726.74,338.0,152254.67
99,30000.0,8421.99,3279.48,112308.11
100,93000.0,19956.39,2261.41,333579.11
101,86000.0,25260.71,6765.66,307619.09
102,63000.0,26035.99,3290.82,225486.23
103,93000.0,28038.21,2924.28,333966.43
104,94000.0,32146.21,4610.93,334645.92
105,63000.0,21846.54,2642.41,222468.31
106,30000.0,17469.02,4337.63,105185.31
107,18000.0,7291.96,2317.96,62317.66
108,24000.0,3426.02,3.18,86115.54
109,56000.0,14880.18,2367.56,197225.13
110,40000.0,17428.85,3306.71,143835.91
111,74000.0,29562.95,2060.72,263105.63
112,52000.0,14565.9,1998.22,182986.01
113,74000.0,20220.87,4540.9,267737.34
114,70000.0,15354.19,1049.37,250751.39
115,99000.0,33878.24,8091.61,356582.14
116,42000.0,15215.24,1501.45,145216.47
117,85000.0,31796.94,2162.5,303397.39
118,38000.0,8872.27,1605.21,132344.37
119,30000.0,15432.67,3986.57,104503.93
120,49000.0,21032.18,5087.02,174564.11
121,27000.0,6447.51,1415.64,96433.43
122,30000.0,4561.31,1652.76,104150.36
123,100000.0,36573.81,5273.16,354797.37
124,21000.0,1380.31,5286.68,80940.73
125,38000.0,18903.61,4889.99,131101.52
126,39000.0,9722.75,903.06,135544.32
127,14000.0,4828.28,286.04,49187.79
128,40000.0,18378.4,1320.08,141380.12
129,33000.0,17449.48,887.76,119330.81
130,88000.0,26009.64,1495.6,321046.69
131,67000.0,28481.82,1520.8,240402.76
132,65000.0,20061.56,3529.27,226998.93
133,95000.0,30737.29,8980.23,341428.14
134,95000.0,36422.31,9997.47,335301.43
135,77000.0,31653.2,7776.98,273960.38
136,70000.0,21438.52,5708.1,249301.9
137,34000.0,16193.65,792.2,117054.66
138,59000.0,13452.18,1503.08,208749.51
139,30000.0,12155.58,932.53,106099.59
140,68000.0,22389.69,1506.11,243081.66
141,43000.0,8573.86,3298.36,156953.75
142,18000.0,8477.14,608.82,61708.49
143,84000.0,33955.62,4479.87,299346.6
144,61000.0,28385.19,6157.7,222450.76
145,24000.0,11886.44,1558.21,82549.07
146,41000.0,8715.25,181.47,144592.09
147,67000.0,18304.64,4895.17,234021.18
148,51000.0,24006.93,4152.02,183327.74
149,100000.0,36734.13,7359.71,354103.97
150,44000.0,18947.95,2229.81,160579.64
151,10000.0,758.57,527.88,35548.0
152,21000.0,1397.37,1444.59,77547.95
153,32000.0,5471.96,672.96,110374.86
154,98000.0,31363.91,5657.55,351426.67
155,39000.0,4856.12,874.16,131077.25
156,40000.0,19639.06,795.73,146145.69
157,44000.0,19015.37,6543.31,153582.23
158,49000.0,24871.05,5036.28,174986.16
159,78000.0,30117.27,3357.79,278955.15
160,49000.0,20423.65,4346.78,178374.68
161,55000.0,22374.78,5066.58,197011.14
162,73000.0,22867.38,968.98,261090.88
163,58000.0,17398.78,4007.45,204099.04
164,82000.0,23434.79,5914.87,288020.75
165,27000.0,10333.53,1130.12,97612.36
166,94000.0,29344.61,3436.48,336372.62
167,69000.0,23290.45,5671.69,245979.96
168,94000.0,37097.06,7596.29,334643.79
169,70000.0,23808.57,3766.6,246494.8
170,88000.0,27461.49,1524.06,312142.96
171,64000.0,23081.49,3056.3,219568.18
172,39000.0,11782.54,2956.73,138375.31
173,99000.0,37732.41,7724.05,349048.34
174,94000.0,30498.16,8823.31,331484.09
175,36000.0,8840.11,962.94,125387.06
176,78000.0,26406.76,2475.1,271026.44
177,44000.0,6313.17,1310.03,152831.25
178,79000.0,27883.21,7467.94,282748.1
179,26000.0,15266.73,2205.88,88967.83
180,17000.0,8197.93,2119.87,63253.78
181,13000.0,8077.5,13.23,48303.75
182,12000.0,3556.58,360.01,37243.27
183,11000.0,3785.25,1569.64,45552.51
184,39000.0,13221.24,3660.57,135773.15
185,86000.0,27148.17,4409.4,308393.05
186,76000.0,26192.67,4127.6,269603.01
187,33000.0,13365.87,12.14,116237.5
188,83000.0,28409.15,4085.22,292857.17
189,37000.0,10252.92,865.33,135530.08
190,92000.0,16703.77,1888.4,325513.71
191,100000.0,32920.19,9904.29,357124.57
192,94000.0,30372.71,5946.11,334089.24
193,27000.0,3438.82,749.52,97507.96
194,53000.0,19044.5,2715.1,191618.04
195,73000.0,28464.6,5545.68,256425.23
196,78000.0,26394.07,3837.37,279590.64
197,59000.0,25687.29,6903.11,209895.65
198,44000.0,15726.34,5470.32,159630.94
199,82000.0,33674.7,8243.05,290019.85
200,47000.0,14162.32,4388.11,170126.19
201,22000.0,3598.47,4325.62,78812.57
202,78000.0,24890.28,3531.09,277094.07
203,15000.0,9809.65,2175.1,51151.74
204,78000.0,36134.78,6812.53,275815.41
205,63000.0,19102.04,4773.05,225791.72
206,45000.0,12227.4,1306.05,162303.91
207,31000.0,8843.92,104.81,111127.75
208,23000.0,2201.75,376.55,80454.44
209,19000.0,4894.41,147.2,69990.71
210,40000.0,11907.89,1958.04,138677.0
211,35000.0,5392.62,20.64,118501.16
212,63000.0,20774.68,6259.15,229090.32
213,78000.0,23809.59,1915.05,276919.06
214,91000.0,22276.71,3290.08,322667.77
215,44000.0,16609.31,5159.07,157490.07
216,16000.0,12251.36,1463.12,56815.34
217,40000.0,12708.41,5838.25,139792.39
218,60000.0,21438.89,3147.75,212169.12
219,49000.0,16319.04,463.31,177502.55
220,71000.0,26023.95,3116.43,253986.11
221,59000.0,21272.91,3385.12,215905.48
222,92000.0,33295.86,1229.45,327653.64
223,60000.0,19015.59,5895.17,214457.61
224,28000.0,10932.01,1867.65,97200.55
225,29000.0,9197.03,3246.67,99109.34
226,97000.0,31707.01,4365.17,347154.76
227,11000.0,9398.84,3206.51,41351.23
228,49000.0,13761.98,2502.65,173155.09
229,38000.0,4338.84,28.07,139834.36
230,18000.0,12384.48,1637.16,65125.3
231,42000.0,10019.03,191.09,152949.6
232,76000.0,32319.26,6494.52,270637.85
233,86000.0,29919.63,6312.9,303609.65
234,70000.0,30473.89,5704.36,248051.48
235,69000.0,24362.46,5463.18,239732.89
236,47000.0,14595.17,573.24,162147.95
237,46000.0,17874.83,3918.94,167533.23
238,98000.0,33555.67,5401.72,343704.71
239,63000.0,18317.21,5106.41,222453.81
240,66000.0,15810.08,495.17,229558.25
241,76000.0,21430.25,3608.35,269037.33
242,12000.0,12848.28,2810.38,42651.52
243,75000.0,38271.43,8586.45,263523.81
244,85000.0,25241.82,5969.54,296248.6
245,12000.0,3188.67,276.14,46848.6
246,90000.0,33511.78,4663.53,322469.76
247,88000.0,35455.19,4091.4,312310.77
248,35000.0,18814.73,3041.47,123952.14
249,89000.0,26118.06,4020.02,320588.3
250,54000.0,22450.02,3389.5,188828.64
251,16000.0,1095.05,1784.71,55334.17
252,98000.0,32079.09,4158.34,342652.23
253,23000.0,7989.79,508.96,84707.34
254,93000.0,33747.43,2798.05,333077.37
255,52000.0,17452.88,3909.85,188116.38
256,27000.0,8301.39,297.74,98161.92
257,13000.0,5358.82,3103.56,47508.14
258,83000.0,21936.01,4436.26,294493.34
259,66000.0,21578.23,8874.24,231994.29
260,19000.0,7789.51,4067.82,62079.52
261,85000.0,23773.46,4542.66,304904.22
262,63000.0,19719.07,5481.92,220706.13
263,62000.0,25079.08,5066.1,225469.53
264,45000.0,15537.33,125.81,157687.3
