Stock Symbol,Exchange,Company Name,Last Sale,Market Capitalization,IPO Year,Sector,Industry
ACU,amex,Acme United Corporation.,27.39,91.13899245,1988.0,Capital Goods,Industrial Machinery/Components
ROX,amex,"Castle Brands, Inc.",1.46,237.64444382,2006.0,Consumer Non-Durables,Beverages (Production/Distribution)
CQP,amex,"Cheniere Energy Partners, LP",32.7,11046.9228876,2007.0,Public Utilities,Oil/Gas Transmission
CIX,amex,CompX International Inc.,14.35,178.21418545,1998.0,Capital Goods,Industrial Machinery/Components
GSAT,amex,"Globalstar, Inc.",1.73,1931.55066056,2006.0,Consumer Services,Telecommunications Equipment
SIM,amex,"Grupo Simec, S.A. de C.V.",12.8,2123.5593088,1993.0,Basic Industries,Steel/Iron Ore
IMH,amex,"Impac Mortgage Holdings, Inc.",12.36,198.07496988,1997.0,Consumer Services,Real Estate Investment Trusts
IDN,amex,"Intellicheck Mobilisa, Inc.",3.19,34.27207762,1999.0,Technology,Computer Software: Prepackaged Software
INS,amex,Intelligent Systems Corporation,4.69,41.00607231,1992.0,Technology,Computer Software: Prepackaged Software
INTT,amex,inTest Corporation,6.275,65.27291395,1997.0,Capital Goods,Electrical Products
LBY,amex,"Libbey, Inc.",13.82,302.698769,1993.0,Capital Goods,Industrial Machinery/Components
NBY,amex,"NovaBay Pharmaceuticals, Inc.",3.7,56.5662475,2007.0,Health Care,Major Pharmaceuticals
TIS,amex,Orchids Paper Products Company,22.93,236.24529063,2005.0,Basic Industries,Paper
SEB,amex,Seaboard Corporation,3933.0,4603.77315,1996.0,Finance,Investment Bankers/Brokers/Service
VSR,amex,"Versar, Inc.",1.27,12.63771666,1986.0,Consumer Services,Military/Government/Technical
AAPL,nasdaq,Apple Inc.,141.05,740024.467,1980.0,Technology,Computer Manufacturing
GOOG,nasdaq,Alphabet Inc.,823.56,569426.12450412,2004.0,Technology,"Computer Software: Programming, Data Processing"
MSFT,nasdaq,Microsoft Corporation,64.95,501903.061809,1986.0,Technology,Computer Software: Prepackaged Software
AMZN,nasdaq,"Amazon.com, Inc.",884.67,422138.53062606,1997.0,Consumer Services,Catalog/Specialty Distribution
CSCO,nasdaq,"Cisco Systems, Inc.",32.42,162354.69952773998,1990.0,Technology,Computer Communications Equipment
AMGN,nasdaq,Amgen Inc.,161.61,118927.21053531,1983.0,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
CELG,nasdaq,Celgene Corporation,124.45,96817.92731595,1987.0,Health Care,Major Pharmaceuticals
GILD,nasdaq,"Gilead Sciences, Inc.",66.51,86944.30540137,1992.0,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
PCLN,nasdaq,The Priceline Group Inc. ,1738.77,85496.04596709,1999.0,Miscellaneous,Business Services
AVGO,nasdaq,Broadcom Limited,211.32,84815.91631511999,2009.0,Technology,Semiconductors
SBUX,nasdaq,Starbucks Corporation,57.51,83815.074,1992.0,Consumer Services,Restaurants
QCOM,nasdaq,QUALCOMM Incorporated,52.79,77972.99634323,1991.0,Technology,Radio And Television Broadcasting And Communications Equipment
ADBE,nasdaq,Adobe Systems Incorporated,129.05,63840.7763838,1986.0,Technology,Computer Software: Prepackaged Software
NFLX,nasdaq,"Netflix, Inc.",142.92,61514.42487156,2002.0,Consumer Services,Consumer Electronics/Video Chains
NVDA,nasdaq,NVIDIA Corporation,95.49,56772.33564726,1999.0,Technology,Semiconductors
BIDU,nasdaq,"Baidu, Inc.",172.61,47500.89112,2005.0,Technology,"Computer Software: Programming, Data Processing"
YHOO,nasdaq,Yahoo! Inc.,46.9,44859.2504773,1996.0,Technology,EDP Services
AMAT,nasdaq,"Applied Materials, Inc.",37.52,40515.25923256,1972.0,Technology,Semiconductors
ESRX,nasdaq,Express Scripts Holding Company,66.47,39902.792347760005,1992.0,Health Care,Medical/Nursing Services
CME,nasdaq,CME Group Inc.,115.87,39372.41894031,2002.0,Finance,Investment Bankers/Brokers/Service
